Name,Icon,City,State,Latitude,Longitude
Southern National Congress,neo-confederate,,Mississippi,32.80735,-89.474217
Southern National Congress,neo-confederate,West Plains,Missouri,36.72,-91.85
League of the South,neo-confederate,Collinsville,Mississippi,32.497918,-88.845883
League of the South,neo-confederate,Jacksonville,Florida,30.312149,-81.737552
Southern National Congress,neo-confederate,Jacksonville,Florida,30.306572,-81.72947
Mary Noel Kershaw Foundation,neo-confederate,Lobelville,Tennessee,35.77,-87.78
Southern National Congress,neo-confederate,incomplete,Louisiana,30.98,-91.96
League of the South,neo-confederate,incomplete,Idaho,44.06,-114.74
Southern National Congress,neo-confederate,Alexandria,Virginia,38.799972,-77.050689
League of the South,neo-confederate,La Porte,Texas,29.652277,-95.02727
League of the South,neo-confederate,Scotts Valley,California,37.01053,-122.117826
Southern National Congress,neo-confederate,,North Carolina,35.402341,-79.132274
Southern Patriot Shoppe,neo-confederate,Abbeville,South Carolina,34.17,-82.37
Southern National Congress,neo-confederate,Travelers Rest,South Carolina,34.967616,-82.443454
League of the South,neo-confederate,Wetumpka,Alabama,32.553744,-86.211912
Southern National Congress,neo-confederate,Morganton,Georgia,34.876667,-84.245556
League of the South,neo-confederate,Logansport,Louisiana,31.975445,-93.997967
Pace Confederate Depot,neo-confederate,Baldwyn,Mississippi,34.509544,-88.635331
Dixie Republic,neo-confederate,Travelers Rest,South Carolina,34.977616,-82.443454
League of the South,neo-confederate,incomplete,Virginia,37.43,-78.65
Southern Nationalist Network,neo-confederate,Aiken,South Carolina,33.56,-81.71
League of the South,neo-confederate,Killen,Alabama,34.862863,-87.537525
League of the South/Southern Culture Center,neo-confederate,Abbeville,South Carolina,34.178171,-82.379014
Southern National Congress,neo-confederate,,Tennessee,35.898723,-86.962408
Southern National Congress,neo-confederate,,Maryland,39.201384,-76.837499
Kingdom Treasure Ministries,neo-confederate,Owasso,Oklahoma,36.269538,-95.854711
Southern National Congress,neo-confederate,Fruit Hill,Kentucky,37,-87.36
League of the South,neo-confederate,Clements,Maryland,38.326544,-76.727526
Confederate Patriot Voters United,neo-confederate,Baldwyn,Mississippi,34.505991,-88.635331
League of the South,neo-confederate,Aiken,South Carolina,33.560416,-81.719553
Southern National Congress,neo-confederate,Wetumpka,Alabama,32.543744,-86.211912
Southern National Congress,neo-confederate,Incomplete,Arkansas,35.2,-91.83
League of the South,neo-confederate,Crofton,Kentucky,37.047821,-87.485002
League of the South,neo-confederate,Macon,Georgia,32.840694,-83.632402
League of the South,neo-confederate,Wilmington,North Carolina,34.237859,-77.947639
League of the South,neo-confederate,Lobelville,Tennessee,35.77201,-87.783912
Southern National Congress,neo-confederate,,Texas,30.546423,-97.622266
League of the South,neo-confederate,West Plains,Missouri,36.728115,-91.852371
National Socialist Movement,neo-nazi,,Delaware,39.15,-75.52
National Alliance Reform and Restoration Group,neo-nazi,Carson City,Nevada,39.175925,-119.766876
National Socialist Movement,neo-nazi,Holland,New Jersey,40.59,-75.11
Aryan Nations LA,neo-nazi,,Mississippi,32.35,-89.39
National Socialist Movement,neo-nazi,,South Dakota,43.964897,-99.9
Creativity Alliance,neo-nazi,,Nevada,38.8,-116.41
Aryan Nations OH,neo-nazi,,Texas,31.964688,-99.9
National Alliance,neo-nazi,Hillsboro,West Virginia,38.135397,-80.213126
National Socialist Movement,neo-nazi,Chesterfield,Virginia,37.37,-77.5
National Socialist Movement,neo-nazi,,Montana,46.87404,-110.36
National Socialist Movement,neo-nazi,,North Carolina,35.754035,-79.01
Creativity Alliance,neo-nazi,,Pennsylvania,41.204231,-77.19
Sadistic Souls Motorcycle Club,neo-nazi,Crestline,Ohio,40.78,-82.73
National Socialist Freedom Movement,neo-nazi,,California,36.736408,-119.41
National Socialist Movement,neo-nazi,Savannah,Georgia,32.08,-81.09
National Socialist Movement,neo-nazi,,Mississippi,32.358503,-89.39
National Socialist Freedom Movement,neo-nazi,,Virginia,37.43,-78.654213
Creativity Movement,neo-nazi,Mt Vernon,Texas,33.18,-95.22
National Socialist Freedom Movement,neo-nazi,,Delaware,38.934007,-75.387852
Sadistic Souls Motorcycle Club,neo-nazi,Brighton,Illinois,39.03,-90.14
American Nazi Party,neo-nazi,,Arizona,33.45,-112.07
National Socialist German Workers Party,neo-nazi,Lincoln,Nebraska,40.818579,-96.711272
Creativity Alliance,neo-nazi,,Tennessee,35.509872,-86.58
Aryan Nations OH,neo-nazi,,New York,43.29,-74.21
Creativity Movement,neo-nazi,Palm Bay,Florida,28.03,-80.58
White Aryan Resistance,neo-nazi,Warsaw,Indiana,41.23,-85.85
National Socialist Movement,neo-nazi,,Washington,47.752021,-120.74
National Socialist Freedom Movement,neo-nazi,,Arizona,32.057701,-112.143021
National Socialist Movement,neo-nazi,,Texas,31.963522,-99.9
National Socialist Movement,neo-nazi,,North Dakota,47.55,-101
American Nazi Party,neo-nazi,,West Virginia,38.312047,-81.482819
Creativity Alliance,neo-nazi,Middlebury,Vermont,44.01,-73.16
National Socialist Movement,neo-nazi,Pemberton Township,New Jersey,39.97,-74.58
Creativity Alliance,neo-nazi,,Montana,46.87,-110.36
Aryan Nations OH,neo-nazi,,West Virginia,38.59,-80.45
Aryan Nations OH,neo-nazi,Washington,District of Columbia,38.9,-77.03064
National Socialist Movement,neo-nazi,,Oregon,43.8,-120.55
National Socialist Freedom Movement,neo-nazi,,Maryland,39.296336,-76.621053
National Socialist Movement,neo-nazi,,Iowa,41.87,-93.09
National Socialist Movement,neo-nazi,Toledo,Ohio,41.66,-83.55
