Name,Icon,City,State,Latitude,Longitude
Nation Of Islam,black-separatist,Augusta,Georgia,33.477583,-82.013465
The Israelite Church of God in Jesus Christ,black-separatist,New York,New York,40.794065,-73.927164
New Black Panther Party,black-separatist,Queens,New York,40.728223,-73.794851
Israelite Church of God in Jesus Christ,black-separatist,Minneapolis,Minnesota,44.994487,-93.298397
New Black Panther Party,black-separatist,Houston,Texas,29.735638,-95.36179
Black Riders Liberation Party,black-separatist,,New York,42.654738,-73.788968
Nation of Islam,black-separatist,Peoria,Illinois,40.66965,-89.639286
Nation of Islam,black-separatist,Saint Petersburg,Florida,27.734624,-82.632137
Nation of Islam,black-separatist,Springfield,Massachusetts,42.110021,-72.567583
Israelite Church of God in Jesus Christ,black-separatist,Miami,Florida,25.940058,-80.215399
Nation of Islam,black-separatist,New Orleans,Louisiana,30.013167,-90.020895
Nation of Islam,black-separatist,Rochester,New York,43.143282,-77.628996
Nation of Islam,black-separatist,Indianapolis,Indiana,39.802988,-86.103918
Nation of Islam,black-separatist,Phoenix,Arizona,33.405164,-112.070017
Israelite Church of God in Jesus Christ,black-separatist,Goldsboro,North Carolina,35.384884,-77.992765
Nation of Islam,black-separatist,Oakland,California,37.810995,-122.273319
Nation of Islam,black-separatist,Greenville,North Carolina,35.612661,-77.366353
Nation of Islam,black-separatist,Willingboro,New Jersey,40.02795,-74.886984
New Black Panther Party,black-separatist,Boston,Massachusetts,42.354856,-71.066119
Nation of Islam,black-separatist,San Diego,California,32.698055,-117.120592
Israelite Church of God in Jesus Christ,black-separatist,Philadelphia,Pennsylvania,39.995507,-75.172048
Nation of Islam,black-separatist,Jackson,Mississippi,32.304923,-90.201023
Israelite Church of God in Jesus Christ,black-separatist,Portland,Oregon,45.576735,-122.638672
Nation of Islam,black-separatist,Dayton,Ohio,39.738371,-84.291075
Nation of Islam,black-separatist,Philadelphia,Pennsylvania,39.991292,-75.155513
Nation of Islam,black-separatist,Harlem,New York,40.81,-73.95
Israelite Church of God in Jesus Christ,black-separatist,Allentown,Pennsylvania,40.607381,-75.478166
Israelite Church of God in Jesus Christ,black-separatist,Oklahoma City,Oklahoma,35.514548,-97.476004
Nation of Islam,black-separatist,Compton,California,33.889068,-118.200027
Nation of Islam,black-separatist,Chattanooga,Tennessee,35.001011,-85.316206
Faith Baptist Church and Ministry,christian-identity,Houston,Missouri,37.326158,-91.955988
Virginia Publishing Company,christian-identity,Lynchburg,Virginia,37.409999,-79.14
Watchmen Bible Study Group,christian-identity,Wappapello,Missouri,36.935556,-90.270833
Thomas Robb Ministries,christian-identity,Bergman,Arkansas,36.326745,-93.011942
America's Promise Ministries,christian-identity,Sandpoint,Idaho,48.276577,-116.553465
Mission to Israel,christian-identity,Scottsbluff,Nebraska,41.866533,-103.661168
Kinsman Redeemer Ministries,christian-identity,Alexandria,Kentucky,38.959507,-84.387994
Covenant People's Ministry,christian-identity,Brooks,Georgia,33.290951,-84.45937
Scriptures for America Ministries,christian-identity,Laporte,Colorado,40.626371,-105.137757
Non-Universal Teaching Ministries,christian-identity,Fostoria,Ohio,41.156998,-83.41687
Weisman Publications,christian-identity,Apple Valley,Minnesota,44.731909,-93.21772
Church of the Sons of Yhvh,christian-identity,Converse,Louisiana,31.771558,-93.693794
11th Hour Remnant Messenger,christian-identity,Santa Fe,New Mexico,35.68,-105.93
Christian Revival Center,christian-identity,Harrison,Arkansas,36.22,-93.1
Ecclesiastical Council for the Restoration of Covenant Israel (ECRCI),christian-identity,Chicago,Illinois,41.85,-87.65
Fellowship of God's Covenant People,christian-identity,Union,Kentucky,38.945895,-84.680501
Kingdom Identity Ministries,christian-identity,Harrison,Arkansas,36.229999,-93.11
Divine International Church of the Web,christian-identity,Morton,Illinois,40.61,-89.45
Our Place Fellowship,christian-identity,Colville,Washington,48.544997,-117.900954
Yahweh's Truth,christian-identity,Linwood,Michigan,43.742369,-84.069596
Holy Order Ministry,christian-identity,De Kalb,Texas,33.508725,-94.616319
Institute for Historical Review,holocaust-denial,Fountain Valley,California,33.696907,-117.943875
International Conspiratological Association,holocaust-denial,Coeur d'Alene,Idaho,47.681935,-116.707675
Inconvenient History,holocaust-denial,San Diego,California,32.55,-117.04
Noontide Press,holocaust-denial,Newport Beach,California,33.597429,-117.837004
Castle Hill Publishers,holocaust-denial,New York,New York,40.77977,-73.983628
Committee for Open Debate on the Holocaust,holocaust-denial,Drums,Pennsylvania,41.033165,-76.004373
Institute for Historical Review Store,holocaust-denial,Newport Beach,California,33.621453,-117.923675
Campaign for Radical Truth in History,holocaust-denial,Coeur d'Alene,Idaho,47.671935,-116.707675
Irving Books,holocaust-denial,Key West,Florida,24.556163,-81.804721
Tony Alamo Christian Ministries,other,Canyon Country,California,34.438411,-118.457197
As-Sabiqun,other,San Diego,California,32.734895,-117.097059
Faithful Word Baptist Church,other,Tempe,Arizona,33.389757,-111.934363
Bill Keller Ministries,other,St. Petersburg,Florida,27.813325,-82.729217
Holy Nation of Odin,other,Kingsburg,California,36.513839,-119.554017
As-Sabiqun,other,Oakland,California,37.794409,-122.245536
Artisan Publishers,other,Muskogee,Oklahoma,35.358953,-95.265619
Fundamentalist Latter Day Saints,other,Hildale,Utah,37,-112.97
The Church at Kaweah,other,Three Rivers,California,36.47,-118.92
As-Sabiqun,other,Washington,District of Columbia,38.896911,-77.03
Samanta Roy Institute of Science and Technology,other,Shawano,Wisconsin,44.78,-88.6
Florida Family Association,other,Tampa,Florida,27.95,-82.459999
The Brother Nathanael Foundation,other,Frisco,Colorado,39.57443,-106.09752
European-American Evangelistic Crusades,other,Carmichael,California,38.617127,-121.328284
Chick Publications,other,Ontario,California,34.020485,-117.652468
Reformation-Bible Puritan-Baptist Church,other,Newmanstown,Pennsylvania,40.349536,-76.213282
Official Street Preachers,other,Los Angeles,California,34.079616,-118.258509
Tony Alamo Christian Ministries,other,Texarkana,Texas,33.425125,-94.047688
As-Sabiqun,other,Sacramento,California,38.479999,-121.44
Sharkhunters International,other,Hernando,Florida,28.899981,-82.37454
Tony Alamo Christian Ministries,other,New York,New York,40.746584,-73.984531
As-Sabiqun,other,Philadelphia,Pennsylvania,39.959811,-75.16074
Tony Alamo Christian Ministries,other,Fouke,Arkansas,33.261239,-93.885459
Fundamentalist Latter Day Saints,other,Colorado City,Arizona,36.990262,-112.97577
Geauga Constitutional Council,other,Mayfield Heights,Ohio,41.525337,-81.438772
American Free Press,other,Washington,District of Columbia,38.884552,-76.996886
Invictus Books,other,Wentzville,Missouri,38.815492,-90.873918
Ozark Craft LC,other,Harrison,Arkansas,36.229793,-93.107676
Dove World Outreach Center,other,Bradenton,Florida,27.493378,-82.377733
The Dakota Voice,other,Rapid City,South Dakota,44.060017,-103.139148
Aggressive Christianity,other,Fence Lake,New Mexico,34.653454,-108.677664
Truth At Last,other,Marietta,Georgia,33.95,-84.55
Jamaat al-Muslimeen,other,Baltimore,Maryland,39.305668,-76.635495
Concerned Citizens and Friends of Illegal Immigration Law Enforcement,other,Framingham,Massachusetts,42.324004,-71.453683
As-Sabiqun,other,Los Angeles,California,34.065562,-118.309664
Power of Prophecy,other,Austin,Texas,30.300618,-97.874408
